"action","authority","title","publisher","publishing_line","start_year","record_id"
"ADD AUTHORITY","Symmetry","","Image","Top Cow Productions","","IMA-0483"
"ADD SERIES","Symmetry","Symmetry","Image","Top Cow Productions","","IMS-0462"
"ADD AUTHORITY","Syphon","","Image","Top Cow Productions","","IMA-0484"
"ADD SERIES","Syphon","Syphon","Image","Top Cow Productions","","IMS-0463"
"ADD AUTHORITY","Tales from the Con","","Image","Image Central","","IMA-0485"
"ADD SERIES","Tales from the Con","Tales from the Con","Image","Image Central","","IMS-0464"
"ADD AUTHORITY","Tales of Honor","","Image","Top Cow Productions","","IMA-0486"
"ADD SERIES","Tales of Honor","Tales of Honor","Image","Top Cow Productions","","IMS-0465"
"ADD AUTHORITY","Tales of Syzpense","","Image","Image Central","","IMA-0487"
"ADD SERIES","Tales of Syzpense","Tales of Syzpense","Image","Image Central","","IMS-0466"
"ADD AUTHORITY","Tartarus","","Image","Image Central","","IMA-0488"
"ADD SERIES","Tartarus","Tartarus","Image","Image Central","","IMS-0467"
"ADD AUTHORITY","Tech Jacket","","Image","Skybound","","IMA-0489"
"ADD SERIES","Tech Jacket","Tech Jacket","Image","Skybound","","IMS-0468"
"ADD AUTHORITY","Tech Jacket Digital","","Image","Image Central","","IMA-0490"
"ADD SERIES","Tech Jacket Digital","Tech Jacket Digital","Image","Image Central","","IMS-0469"
"ADD AUTHORITY","Term Life","","Image","Image Central","","IMA-0491"
"ADD SERIES","Term Life","Term Life","Image","Image Central","","IMS-0470"
"ADD AUTHORITY","That Texas Blood","","Image","Image Central","","IMA-0492"
"REPAIR SERIES","That Texas Blood","That Texas Blood","Image","Image Central","","SER-01166"
"ADD AUTHORITY","The Ambassadors","","Image","Millarworld","","IMA-0493"
"ADD SERIES","The Ambassadors","The Ambassadors","Image","Millarworld","","IMS-0471"
"ADD AUTHORITY","The Art of Marc Silvestri","","Image","Image Central","","IMA-0494"
"ADD SERIES","The Art of Marc Silvestri","The Art of Marc Silvestri","Image","Image Central","","IMS-0472"
"ADD AUTHORITY","The Art of Rahsan Ekedal","","Image","Image Central","","IMA-0495"
"ADD SERIES","The Art of Rahsan Ekedal","The Art of Rahsan Ekedal","Image","Image Central","","IMS-0473"
"REPAIR SERIES","The Astounding Wolf-Man","The Astounding Wolf-Man","Image","Skybound","","SER-00788"
"ADD AUTHORITY","The Author Immortal","","Image","Image Central","","IMA-0496"
"ADD SERIES","The Author Immortal","The Author Immortal","Image","Image Central","","IMS-0474"
"ADD AUTHORITY","The Autumnlands","","Image","Image Central","","IMA-0497"
"REPAIR SERIES","The Autumnlands","The Autumnlands","Image","Image Central","","SER-01167"
"ADD AUTHORITY","The Beauty","","Image","Image Central","","IMA-0498"
"REPAIR SERIES","The Beauty","The Beauty","Image","Image Central","","SER-01168"
"ADD AUTHORITY","The Black Monday Murders","","Image","Image Central","","IMA-0499"
"REPAIR SERIES","The Black Monday Murders","The Black Monday Murders","Image","Image Central","","SER-01169"
"ADD AUTHORITY","The Bloody Dozen","","Image","Image Central","","IMA-0500"
"ADD SERIES","The Bloody Dozen","The Bloody Dozen","Image","Image Central","","IMS-0475"
"ADD AUTHORITY","The Cabinet","","Image","Image Central","","IMA-0501"
"ADD SERIES","The Cabinet","The Cabinet","Image","Image Central","","IMS-0476"
"ADD AUTHORITY","The Clay People: Colossus","","Image","Image Central","","IMA-0502"
"ADD SERIES","The Clay People: Colossus","The Clay People: Colossus","Image","Image Central","","IMS-0477"
"ADD AUTHORITY","The Clock","","Image","Top Cow Productions","","IMA-0503"
"ADD SERIES","The Clock","The Clock","Image","Top Cow Productions","","IMS-0478"
"ADD AUTHORITY","The Closet","","Image","Image Central","","IMA-0504"
"ADD SERIES","The Closet","The Closet","Image","Image Central","","IMS-0479"
"ADD AUTHORITY","the colonized","","Image","Image Central","","IMA-0505"
"ADD SERIES","the colonized","the colonized","Image","Image Central","","IMS-0480"
"ADD AUTHORITY","The Creep","","Image","Image Central","","IMA-0506"
"ADD SERIES","The Creep","The Creep","Image","Image Central","","IMS-0481"
"ADD AUTHORITY","The Crooked Man","","Image","Image Central","","IMA-0507"
"ADD SERIES","The Crooked Man","The Crooked Man","Image","Image Central","","IMS-0482"
"ADD AUTHORITY","The Cull","","Image","Image Central","","IMA-0508"
"ADD SERIES","The Cull","The Cull","Image","Image Central","","IMS-0483"
"ADD AUTHORITY","The Curse Of Sherlee Johnson","","Image","Image Central","","IMA-0509"
"ADD SERIES","The Curse Of Sherlee Johnson","The Curse Of Sherlee Johnson","Image","Image Central","","IMS-0484"
"ADD AUTHORITY","The Dark Room","","Image","Image Central","","IMA-0510"
"ADD SERIES","The Dark Room","The Dark Room","Image","Image Central","","IMS-0485"
"ADD SERIES","The Darkness","The Darkness","Image","Top Cow Productions","","IMS-0486"
"ADD AUTHORITY","The Dead Hand","","Image","Image Central","","IMA-0511"
"ADD SERIES","The Dead Hand","The Dead Hand","Image","Image Central","","IMS-0487"
"ADD AUTHORITY","The Dead Lucky","","Image","Massive-Verse","","IMA-0512"
"ADD SERIES","The Dead Lucky","The Dead Lucky","Image","Massive-Verse","","IMS-0488"
"ADD AUTHORITY","The Deadliest Bouquet","","Image","Image Central","","IMA-0513"
"ADD SERIES","The Deadliest Bouquet","The Deadliest Bouquet","Image","Image Central","","IMS-0489"
"ADD AUTHORITY","The Department of Truth","","Image","Image Central","","IMA-0514"
"REPAIR SERIES","The Department of Truth","The Department of Truth","Image","Image Central","","SER-01170"
"ADD AUTHORITY","The Deviant","","Image","Image Central","","IMA-0515"
"ADD SERIES","The Deviant","The Deviant","Image","Image Central","","IMS-0490"
"ADD AUTHORITY","The Divided States of Hysteria","","Image","Image Central","","IMA-0516"
"ADD SERIES","The Divided States of Hysteria","The Divided States of Hysteria","Image","Image Central","","IMS-0491"
"ADD AUTHORITY","The Double Life of Miranda Turner","","Image","Image Central","","IMA-0517"
"ADD SERIES","The Double Life of Miranda Turner","The Double Life of Miranda Turner","Image","Image Central","","IMS-0492"
"ADD AUTHORITY","The Dream Merchant","","Image","Image Central","","IMA-0518"
"ADD SERIES","The Dream Merchant","The Dream Merchant","Image","Image Central","","IMS-0493"
"ADD AUTHORITY","The Empty","","Image","Image Central","","IMA-0519"
"ADD SERIES","The Empty","The Empty","Image","Image Central","","IMS-0494"
"ADD AUTHORITY","THE ENFIELD GANG MASSACRE","","Image","Image Central","","IMA-0520"
"ADD SERIES","THE ENFIELD GANG MASSACRE","THE ENFIELD GANG MASSACRE","Image","Image Central","","IMS-0495"
"ADD AUTHORITY","The Essential Guide to Comic Book Lettering","","Image","Image Central","","IMA-0521"
"ADD SERIES","The Essential Guide to Comic Book Lettering","The Essential Guide to Comic Book Lettering","Image","Image Central","","IMS-0496"
"ADD AUTHORITY","THE EYE COLLECTOR","","Image","Image Central","","IMA-0522"
"ADD SERIES","THE EYE COLLECTOR","THE EYE COLLECTOR","Image","Image Central","","IMS-0497"
"ADD AUTHORITY","The Fade Out","","Image","Image Central","","IMA-0523"
"ADD SERIES","The Fade Out","The Fade Out","Image","Image Central","","IMS-0498"
"ADD AUTHORITY","The Fall","","Image","Image Central","","IMA-0524"
"ADD SERIES","The Fall","The Fall","Image","Image Central","","IMS-0499"
"ADD AUTHORITY","The Few","","Image","Image Central","","IMA-0525"
"ADD SERIES","The Few","The Few","Image","Image Central","","IMS-0500"
"ADD AUTHORITY","The Fix","","Image","Image Central","","IMA-0526"
"ADD SERIES","The Fix","The Fix","Image","Image Central","","IMS-0501"
"ADD AUTHORITY","The Forged","","Image","Image Central","","IMA-0527"
"ADD SERIES","The Forged","The Forged","Image","Image Central","","IMS-0502"
"ADD AUTHORITY","The Freeze","","Image","Image Central","","IMA-0528"
"ADD SERIES","The Freeze","The Freeze","Image","Image Central","","IMS-0503"
"ADD AUTHORITY","The Ghost Fleet","","Image","Image Central","","IMA-0529"
"ADD SERIES","The Ghost Fleet","The Ghost Fleet","Image","Image Central","","IMS-0504"
"ADD AUTHORITY","The GIANT KOKJU","","Image","Image Central","","IMA-0530"
"ADD SERIES","The GIANT KOKJU","The GIANT KOKJU","Image","Image Central","","IMS-0505"
"ADD AUTHORITY","The Goddamned","","Image","Image Central","","IMA-0531"
"ADD SERIES","The Goddamned","The Goddamned","Image","Image Central","","IMS-0506"
"ADD AUTHORITY","The Good Asian","","Image","Image Central","","IMA-0532"
"ADD SERIES","The Good Asian","The Good Asian","Image","Image Central","","IMS-0507"
"ADD AUTHORITY","The Gravediggers Union","","Image","Image Central","","IMA-0533"
"ADD SERIES","The Gravediggers Union","The Gravediggers Union","Image","Image Central","","IMS-0508"
"ADD AUTHORITY","The Hollows","","Image","Image Central","","IMA-0534"
"ADD SERIES","The Hollows","The Hollows","Image","Image Central","","IMS-0509"
"ADD AUTHORITY","The Holy Roller","","Image","Image Central","","IMA-0535"
"ADD SERIES","The Holy Roller","The Holy Roller","Image","Image Central","","IMS-0510"
"ADD AUTHORITY","The Hunt","","Image","Image Central","","IMA-0536"
"ADD SERIES","The Hunt","The Hunt","Image","Image Central","","IMS-0511"
"ADD AUTHORITY","The Infernals","","Image","Image Central","","IMA-0537"
"ADD SERIES","The Infernals","The Infernals","Image","Image Central","","IMS-0512"
"ADD AUTHORITY","The Infinite Horizon","","Image","Image Central","","IMA-0538"
"ADD SERIES","The Infinite Horizon","The Infinite Horizon","Image","Image Central","","IMS-0513"
"ADD AUTHORITY","THE KARMAN BLADE","","Image","Image Central","","IMA-0539"
"ADD SERIES","THE KARMAN BLADE","THE KARMAN BLADE","Image","Image Central","","IMS-0514"
"ADD SERIES","Criminal","The Knives A Criminal Book","Image","Image Central","","IMS-0515"
"ADD AUTHORITY","The Labyrinth","","Image","Image Central","","IMA-0540"
"ADD SERIES","The Labyrinth","The Labyrinth","Image","Image Central","","IMS-0516"
"ADD AUTHORITY","The Last Barbarians","","Image","Image Central","","IMA-0541"
"ADD SERIES","The Last Barbarians","The Last Barbarians","Image","Image Central","","IMS-0517"
"ADD AUTHORITY","The Last Christmas","","Image","Image Central","","IMA-0542"
"ADD SERIES","The Last Christmas","The Last Christmas","Image","Image Central","","IMS-0518"
"ADD AUTHORITY","The Last Mermaid","","Image","Image Central","","IMA-0543"
"ADD SERIES","The Last Mermaid","The Last Mermaid","Image","Image Central","","IMS-0519"
"ADD AUTHORITY","The Least We Can Do","","Image","Image Central","","IMA-0544"
"ADD SERIES","The Least We Can Do","The Least We Can Do","Image","Image Central","","IMS-0520"
"ADD AUTHORITY","The Li'l Depressed Boy","","Image","Image Central","","IMA-0545"
"ADD SERIES","The Li'l Depressed Boy","The Li'l Depressed Boy","Image","Image Central","","IMS-0521"
"ADD AUTHORITY","The Lucky Devils","","Image","Image Central","","IMA-0546"
"ADD SERIES","The Lucky Devils","The Lucky Devils","Image","Image Central","","IMS-0522"
"ADD AUTHORITY","The Ludocrats","","Image","Image Central","","IMA-0547"
"ADD SERIES","The Ludocrats","The Ludocrats","Image","Image Central","","IMS-0523"
"ADD AUTHORITY","The Magic Order","","Image","Millarworld","","IMA-0548"
"REPAIR SERIES","The Magic Order","The Magic Order","Image","Millarworld","","SER-01171"
"REPAIR SERIES","The Manhattan Projects","The Manhattan Projects","Image","Image Central","","SER-00820"
"ADD AUTHORITY","The Marked","","Image","Top Cow Productions","","IMA-0549"
"ADD SERIES","The Marked","The Marked","Image","Top Cow Productions","","IMS-0524"
"ADD AUTHORITY","The Me You Love In The Dark","","Image","Image Central","","IMA-0550"
"ADD SERIES","The Me You Love In The Dark","The Me You Love In The Dark","Image","Image Central","","IMS-0525"
"ADD AUTHORITY","The Mighty","","Image","Image Central","","IMA-0551"
"ADD SERIES","The Mighty","The Mighty","Image","Image Central","","IMS-0526"
"ADD AUTHORITY","The Moon Is Following Us","","Image","Image Central","","IMA-0552"
"REPAIR SERIES","The Moon Is Following Us","The Moon Is Following Us","Image","Image Central","","SER-01186"
"ADD AUTHORITY","The Official Image Timeline (One-Shot)","","Image","Image Central","","IMA-0553"
"ADD SERIES","The Official Image Timeline (One-Shot)","The Official Image Timeline (One-Shot)","Image","Image Central","","IMS-0527"
"ADD AUTHORITY","The Old Guard","","Image","Image Central","","IMA-0554"
"REPAIR SERIES","The Old Guard","The Old Guard","Image","Image Central","","SER-01172"
"ADD AUTHORITY","The One Hand","","Image","Image Central","","IMA-0555"
"ADD SERIES","The One Hand","The One Hand","Image","Image Central","","IMS-0528"
"ADD AUTHORITY","The Passageway","","Image","Image Central","","IMA-0556"
"ADD SERIES","The Passageway","The Passageway","Image","Image Central","","IMS-0529"
"ADD AUTHORITY","The Power Fantasy","","Image","Image Central","","IMA-0557"
"REPAIR SERIES","The Power Fantasy","The Power Fantasy","Image","Image Central","","SER-01173"
"ADD AUTHORITY","The Private Eye","","Image","Image Central","","IMA-0558"
"ADD SERIES","The Private Eye","The Private Eye","Image","Image Central","","IMS-0530"
"ADD AUTHORITY","The Pro","","Image","Image Central","","IMA-0559"
"ADD SERIES","The Pro","The Pro","Image","Image Central","","IMS-0531"
"ADD AUTHORITY","The Rocketfellers","","Image","Ghost Machine","","IMA-0560"
"ADD SERIES","The Rocketfellers","The Rocketfellers","Image","Ghost Machine","","IMS-0532"
"ADD AUTHORITY","The Sacrificers","","Image","Image Central","","IMA-0561"
"REPAIR SERIES","The Sacrificers","The Sacrificers","Image","Image Central","","SER-01174"
"ADD AUTHORITY","The Savage Strength of Starstorm","","Image","Image Central","","IMA-0562"
"ADD SERIES","The Savage Strength of Starstorm","The Savage Strength of Starstorm","Image","Image Central","","IMS-0533"
"ADD AUTHORITY","The Saviors","","Image","Image Central","","IMA-0563"
"ADD SERIES","The Saviors","The Saviors","Image","Image Central","","IMS-0534"
"ADD AUTHORITY","THE SCHLUB","","Image","Image Central","","IMA-0564"
"ADD SERIES","THE SCHLUB","THE SCHLUB","Image","Image Central","","IMS-0535"
"ADD SERIES","Spawn","The Scorched","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0536"
"ADD AUTHORITY","The Scumbag","","Image","Image Central","","IMA-0565"
"ADD SERIES","The Scumbag","The Scumbag","Image","Image Central","","IMS-0537"
"ADD AUTHORITY","The Seasons","","Image","Image Central","","IMA-0566"
"ADD SERIES","The Seasons","The Seasons","Image","Image Central","","IMS-0538"
"ADD AUTHORITY","The Secret History Of The War On Weed","","Image","Image Central","","IMA-0567"
"ADD SERIES","The Secret History Of The War On Weed","The Secret History Of The War On Weed","Image","Image Central","","IMS-0539"
"ADD AUTHORITY","The Silver Coin","","Image","Image Central","","IMA-0568"
"ADD SERIES","The Silver Coin","The Silver Coin","Image","Image Central","","IMS-0540"
"ADD AUTHORITY","The singularity","","Image","Image Central","","IMA-0569"
"ADD SERIES","The singularity","The singularity","Image","Image Central","","IMS-0541"
"ADD AUTHORITY","The Six Fingers","","Image","Image Central","","IMA-0570"
"ADD SERIES","The Six Fingers","The Six Fingers","Image","Image Central","","IMS-0542"
"ADD AUTHORITY","The Tin Can Society","","Image","Image Central","","IMA-0571"
"ADD SERIES","The Tin Can Society","The Tin Can Society","Image","Image Central","","IMS-0543"
"ADD AUTHORITY","The Tithe","","Image","Skybound","","IMA-0572"
"ADD SERIES","The Tithe","The Tithe","Image","Skybound","","IMS-0544"
"ADD AUTHORITY","The UnChosen","","Image","Image Central","","IMA-0573"
"ADD SERIES","The UnChosen","The UnChosen","Image","Image Central","","IMS-0545"
"ADD AUTHORITY","The Voice Said Kill","","Image","Image Central","","IMA-0574"
"ADD SERIES","The Voice Said Kill","The Voice Said Kill","Image","Image Central","","IMS-0546"
"REPAIR SERIES","The Walking Dead","The Walking Dead","Image","Skybound","","SER-00866"
"ADD AUTHORITY","The Weatherman","","Image","Image Central","","IMA-0575"
"REPAIR SERIES","The Weatherman","The Weatherman","Image","Image Central","","SER-01175"
"ADD AUTHORITY","The Whisper Queen","","Image","Image Central","","IMA-0576"
"ADD SERIES","The Whisper Queen","The Whisper Queen","Image","Image Central","","IMS-0547"
"ADD AUTHORITY","The White Trees","","Image","Image Central","","IMA-0577"
"ADD SERIES","The White Trees","The White Trees","Image","Image Central","","IMS-0548"
"REPAIR SERIES","The Wicked + The Divine","The Wicked + The Divine","Image","Image Central","","SER-00869"
"ADD AUTHORITY","They're Not Like Us","","Image","Image Central","","IMA-0578"
"ADD SERIES","They're Not Like Us","They're Not Like Us","Image","Image Central","","IMS-0549"
"ADD AUTHORITY","Thief of Thieves","","Image","Skybound","","IMA-0579"
"ADD SERIES","Thief of Thieves","Thief of Thieves","Image","Skybound","","IMS-0550"
"ADD AUTHORITY","Think Tank","","Image","Top Cow Productions","","IMA-0580"
"ADD SERIES","Think Tank","Think Tank","Image","Top Cow Productions","","IMS-0551"
"ADD AUTHORITY","THIS ENDS TONIGHT","","Image","Image Central","","IMA-0581"
"ADD SERIES","THIS ENDS TONIGHT","THIS ENDS TONIGHT","Image","Image Central","","IMS-0552"
"ADD AUTHORITY","Thought Bubble","","Image","Image Central","","IMA-0582"
"ADD SERIES","Thought Bubble","Thought Bubble","Image","Image Central","","IMS-0553"
"ADD AUTHORITY","Thumbs","","Image","Image Central","","IMA-0583"
"ADD SERIES","Thumbs","Thumbs","Image","Image Central","","IMS-0554"
"ADD AUTHORITY","TIGRESS ISLAND","","Image","Image Central","","IMA-0584"
"ADD SERIES","TIGRESS ISLAND","TIGRESS ISLAND","Image","Image Central","","IMS-0555"
"ADD AUTHORITY","Tim Seeley's Action Figure Collection","","Image","Image Central","","IMA-0585"
"ADD SERIES","Tim Seeley's Action Figure Collection","Tim Seeley's Action Figure Collection","Image","Image Central","","IMS-0556"
"ADD AUTHORITY","Time Before Time","","Image","Image Central","","IMA-0586"
"ADD SERIES","Time Before Time","Time Before Time","Image","Image Central","","IMS-0557"
"ADD AUTHORITY","Time^2","","Image","Image Central","","IMA-0587"
"ADD SERIES","Time^2","Time^2","Image","Image Central","","IMS-0558"
"ADD AUTHORITY","Tokyo Ghost","","Image","Image Central","","IMA-0588"
"ADD SERIES","Tokyo Ghost","Tokyo Ghost","Image","Image Central","","IMS-0559"
"ADD AUTHORITY","Too Dead To Die: A Simon Cross Thriller","","Image","Image Central","","IMA-0589"
"ADD SERIES","Too Dead To Die: A Simon Cross Thriller","Too Dead To Die: A Simon Cross Thriller","Image","Image Central","","IMS-0560"
"ADD AUTHORITY","Torrent","","Image","Image Central","","IMA-0590"
"ADD SERIES","Torrent","Torrent","Image","Image Central","","IMS-0561"
"ADD SERIES","Transformers","Transformers","Image","Skybound / Energon Universe","","IMS-0562"
"ADD AUTHORITY","Transhuman","","Image","Image Central","","IMA-0591"
"ADD SERIES","Transhuman","Transhuman","Image","Image Central","","IMS-0563"
"REPAIR SERIES","Trees","Trees","Image","Image Central","","SER-00887"
"ADD AUTHORITY","Trover Saves The Universe","","Image","Image Central","","IMA-0592"
"ADD SERIES","Trover Saves The Universe","Trover Saves The Universe","Image","Image Central","","IMS-0564"
"ADD AUTHORITY","Twig","","Image","Image Central","","IMA-0593"
"ADD SERIES","Twig","Twig","Image","Image Central","","IMS-0565"
"ADD AUTHORITY","Twisted Romance","","Image","Image Central","","IMA-0594"
"ADD SERIES","Twisted Romance","Twisted Romance","Image","Image Central","","IMS-0566"
"ADD AUTHORITY","Two Moons","","Image","Image Central","","IMA-0595"
"ADD SERIES","Two Moons","Two Moons","Image","Image Central","","IMS-0567"
"ADD AUTHORITY","Ultramega","","Image","Skybound","","IMA-0596"
"ADD SERIES","Ultramega","Ultramega","Image","Skybound","","IMS-0568"
"ADD AUTHORITY","Under York","","Image","Image Central","","IMA-0597"
"ADD SERIES","Under York","Under York","Image","Image Central","","IMS-0569"
"ADD AUTHORITY","Undiscovered Country","","Image","Image Central","","IMA-0598"
"ADD SERIES","Undiscovered Country","Undiscovered Country","Image","Image Central","","IMS-0570"
"ADD AUTHORITY","Universal Monsters: The Mummy","","Image","Skybound / Universal Monsters","","IMA-0599"
"ADD SERIES","Universal Monsters: The Mummy","Universal Monsters The Mummy","Image","Skybound / Universal Monsters","","IMS-0571"
"ADD AUTHORITY","Universal Monsters: Creature from the Black Lagoon","","Image","Skybound / Universal Monsters","","IMA-0600"
"ADD SERIES","Universal Monsters: Creature from the Black Lagoon","Universal Monsters: Creature From The Black Lagoon Lives!","Image","Skybound / Universal Monsters","","IMS-0572"
"ADD AUTHORITY","Universal Monsters: Dracula","","Image","Skybound / Universal Monsters","","IMA-0601"
"ADD SERIES","Universal Monsters: Dracula","UNIVERSAL MONSTERS: DRACULA","Image","Skybound / Universal Monsters","","IMS-0573"
"ADD AUTHORITY","Universal Monsters: Frankenstein","","Image","Skybound / Universal Monsters","","IMA-0602"
"ADD SERIES","Universal Monsters: Frankenstein","Universal Monsters: Frankenstein","Image","Skybound / Universal Monsters","","IMS-0574"
"ADD AUTHORITY","Universe!","","Image","Image Central","","IMA-0603"
"ADD SERIES","Universe!","Universe!","Image","Image Central","","IMS-0575"
"ADD AUTHORITY","Unnatural","","Image","Image Central","","IMA-0604"
"ADD SERIES","Unnatural","Unnatural","Image","Image Central","","IMS-0576"
"ADD SERIES","I Hate Fairyland","UNTOLD TALES OF I HATE FAIRYLAND","Image","Image Central","","IMS-0577"
"ADD AUTHORITY","User","","Image","Image Central","","IMA-0605"
"ADD SERIES","User","User","Image","Image Central","","IMS-0578"
"ADD AUTHORITY","Vanish","","Image","Image Central","","IMA-0606"
"ADD SERIES","Vanish","Vanish","Image","Image Central","","IMS-0579"
"ADD AUTHORITY","Velocity","","Image","Top Cow Productions","","IMA-0607"
"ADD SERIES","Velocity","Velocity","Image","Top Cow Productions","","IMS-0580"
"REPAIR SERIES","Velvet","Velvet","Image","Image Central","","SER-00924"
"ADD AUTHORITY","Vindication","","Image","Image Central","","IMA-0608"
"ADD SERIES","Vindication","Vindication","Image","Image Central","","IMS-0581"
"ADD AUTHORITY","Vinyl","","Image","Image Central","","IMA-0609"
"ADD SERIES","Vinyl","Vinyl","Image","Image Central","","IMS-0582"
"ADD AUTHORITY","Void Rivals","","Image","Skybound / Energon Universe","","IMA-0610"
"REPAIR SERIES","Void Rivals","Void Rivals","Image","Skybound / Energon Universe","","SER-01176"
"ADD AUTHORITY","Voyagis","","Image","Image Central","","IMA-0611"
"ADD SERIES","Voyagis","Voyagis","Image","Image Central","","IMS-0583"
"ADD AUTHORITY","W0rldtr33","","Image","Image Central","","IMA-0612"
"REPAIR SERIES","W0rldtr33","W0rldtr33","Image","Image Central","","SER-01177"
"REPAIR SERIES","Wanted","Wanted","Image","Millarworld","","SER-00943"
"ADD AUTHORITY","Warframe","","Image","Image Central","","IMA-0613"
"ADD SERIES","Warframe","Warframe","Image","Image Central","","IMS-0584"
"REPAIR SERIES","Wayward","Wayward","Image","Image Central","","SER-00955"
"ADD AUTHORITY","We Stand On Guard","","Image","Image Central","","IMA-0614"
"ADD SERIES","We Stand On Guard","We Stand On Guard","Image","Image Central","","IMS-0585"
"ADD AUTHORITY","We're Taking Everyone Down With Us","","Image","Image Central","","IMA-0615"
"ADD SERIES","We're Taking Everyone Down With Us","We're Taking Everyone Down With Us","Image","Image Central","","IMS-0586"
"ADD AUTHORITY","Weird Work","","Image","Image Central","","IMA-0616"
"ADD SERIES","Weird Work","Weird Work","Image","Image Central","","IMS-0587"
"ADD AUTHORITY","What's The Furthest Place From Here?","","Image","Image Central","","IMA-0617"
"REPAIR SERIES","What's The Furthest Place From Here?","What's the Furthest Place from Here?","Image","Image Central","","SER-01178"
"ADD AUTHORITY","Where The Body Was","","Image","Image Central","","IMA-0618"
"ADD SERIES","Where The Body Was","Where The Body Was","Image","Image Central","","IMS-0588"
"ADD AUTHORITY","White Sky","","Image","Image Central","","IMA-0619"
"ADD SERIES","White Sky","White Sky","Image","Image Central","","IMS-0589"
"ADD AUTHORITY","Wildfire","","Image","Image Central","","IMA-0620"
"ADD SERIES","Wildfire","Wildfire","Image","Image Central","","IMS-0590"
"ADD AUTHORITY","Witch Doctor","","Image","Skybound","","IMA-0621"
"ADD SERIES","Witch Doctor","Witch Doctor","Image","Skybound","","IMS-0591"
"REPAIR SERIES","Witchblade","Witchblade","Image","Top Cow Productions","","SER-01179"
"ADD AUTHORITY","Wizard's Tale","","Image","Image Central","","IMA-0622"
"ADD SERIES","Wizard's Tale","Wizard's Tale","Image","Image Central","","IMS-0592"
"ADD AUTHORITY","Write It In Blood","","Image","Image Central","","IMA-0623"
"ADD SERIES","Write It In Blood","Write It In Blood","Image","Image Central","","IMS-0593"
"REPAIR SERIES","Wytches","Wytches","Image","Image Central","","SER-00986"
"ADD AUTHORITY","You'll Do Bad Things","","Image","Image Central","","IMA-0624"
"ADD SERIES","You'll Do Bad Things","You'll Do Bad Things","Image","Image Central","","IMS-0594"
"REPAIR SERIES","Youngblood","Youngblood","Image","Extreme Studios / Awesome Comics","","SER-01008"
"ADD AUTHORITY","YUMI: 00EX","","Image","Image Central","","IMA-0625"
"ADD SERIES","YUMI: 00EX","YUMI: 00EX","Image","Image Central","","IMS-0595"
"ADD AUTHORITY","1963","","Image","Image Central","","IMA-0626"
"ADD SERIES","1963","1963","Image","Image Central","","IMS-0596"
"ADD AUTHORITY","A Touch of Silver","","Image","Shadowline","","IMA-0627"
"ADD SERIES","A Touch of Silver","A Touch of Silver","Image","Shadowline","","IMS-0597"
"ADD AUTHORITY","Allegra","","Image","Image Central","","IMA-0628"
"ADD SERIES","Allegra","Allegra","Image","Image Central","","IMS-0598"
"ADD AUTHORITY","Altered Image","","Image","Image Central","","IMA-0629"
"ADD SERIES","Altered Image","Altered Image","Image","Image Central","","IMS-0599"
"ADD SERIES","Spawn","Angela","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0600"
"ADD SERIES","Aphrodite IX","Aphrodite IX","Image","Top Cow Productions","","IMS-0601"
"ADD AUTHORITY","Avengelyne","","Image","Extreme Studios / Awesome Comics","","IMA-0630"
"ADD SERIES","Avengelyne","Avengelyne","Image","Extreme Studios / Awesome Comics","","IMS-0602"
"ADD AUTHORITY","Badrock","","Image","Extreme Studios / Awesome Comics","","IMA-0631"
"ADD SERIES","Badrock","Badrock","Image","Extreme Studios / Awesome Comics","","IMS-0603"
"ADD SERIES","Backlash","Backlash","Image","Image Central","","IMS-0604"
"ADD AUTHORITY","Battle Beast","","Image","Skybound","","IMA-0632"
"ADD SERIES","Battle Beast","Battle Beast","Image","Skybound","","IMS-0605"
"ADD AUTHORITY","Big Bang Comics","","Image","Image Central","","IMA-0633"
"ADD SERIES","Big Bang Comics","Big Bang Comics","Image","Image Central","","IMS-0606"
"ADD SERIES","Youngblood","Bloodpool","Image","Extreme Studios / Awesome Comics","","IMS-0607"
"ADD AUTHORITY","Chapel","","Image","Extreme Studios / Awesome Comics","","IMA-0634"
"ADD SERIES","Chapel","Chapel","Image","Extreme Studios / Awesome Comics","","IMS-0608"
"ADD AUTHORITY","Codename: Strykeforce","","Image","Top Cow Productions","","IMA-0635"
"ADD SERIES","Codename: Strykeforce","Codename: Strykeforce","Image","Top Cow Productions","","IMS-0609"
"ADD AUTHORITY","Cobra Commander","","Image","Skybound / Energon Universe","","IMA-0636"
"ADD SERIES","Cobra Commander","Cobra Commander","Image","Skybound / Energon Universe","","IMS-0610"
"ADD AUTHORITY","Darker Image","","Image","Image Central","","IMA-0637"
"ADD SERIES","Darker Image","Darker Image","Image","Image Central","","IMS-0611"
"ADD AUTHORITY","Deathmate","","Image","Image Central","","IMA-0638"
"ADD SERIES","Deathmate","Deathmate","Image","Image Central","","IMS-0612"
"ADD AUTHORITY","Destro","","Image","Skybound / Energon Universe","","IMA-0639"
"ADD SERIES","Destro","Destro","Image","Skybound / Energon Universe","","IMS-0613"
"ADD AUTHORITY","Duke","","Image","Skybound / Energon Universe","","IMA-0640"
"ADD SERIES","Duke","Duke","Image","Skybound / Energon Universe","","IMS-0614"
